Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.cli.ValueTest.testShortNoArgWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortWithArgWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333
org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();6;0;0;5;0.5555555555555556;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testNullhOption();4;0;0;3;0.3333333333333333;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();26.5;1;6;14;1;18;0.6428571428571428
org.apache.commons.cli.CommandLineTest.testGetOptionProperties();26.5;1;6;14;1;18;0.6428571428571428
org.apache.commons.cli.ParserTestCase.testPropertiesOption2();21;1;3;13;0.9285714285714286;12;0.42857142857142855
org.apache.commons.cli.HelpFormatterTest.testHeaderStartingWithLineSeparator();10;0;0;9;0.6428571428571429;1;0.2
org.apache.commons.cli.HelpFormatterTest.testIndentedHeaderAndFooter();10;0;0;9;0.6428571428571429;1;0.2
org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();10;0;0;9;0.6428571428571429;1;0.2
org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();18.5;1;1.5;16;0.7272727272727273;9;0.14285714285714285
org.apache.commons.cli.HelpFormatterTest.testPrintUsage();29;1;3;16;0.7272727272727273;10;0.15873015873015872
org.apache.commons.cli.HelpFormatterTest.testPrintSortedUsage();29;1;3;16;0.7272727272727273;10;0.15873015873015872
org.apache.commons.cli.HelpFormatterTest.testPrintOptionWithEmptyArgNameUsage();15;1;1;14;0.6363636363636364;2;0.031746031746031744
org.apache.commons.cli.HelpFormatterTest.testUsageWithLongOptSeparator();29;1;3;16;0.7272727272727273;10;0.15873015873015872
org.apache.commons.cli.ApplicationTest.testLs();7.5;0;0;8;0.6153846153846154;2;0.3333333333333333
org.apache.commons.cli.ApplicationTest.testAnt();7;0;0;6;0.46153846153846156;1;0.16666666666666666
org.apache.commons.cli.ApplicationTest.testGroovy();7.5;0;0;8;0.6153846153846154;2;0.3333333333333333
org.apache.commons.cli.ApplicationTest.testNLT();8;0;0;7;0.5384615384615384;1;0.16666666666666666
org.apache.commons.cli.OptionsTest.testHelpOptions();7.5;0;0;8;0.6153846153846154;2;0.3333333333333333
org.apache.commons.cli.OptionsTest.testMissingOptionException();9;0;0;8;0.6153846153846154;1;0.16666666666666666
org.apache.commons.cli.OptionsTest.testMissingOptionsException();9;0;0;8;0.6153846153846154;1;0.16666666666666666
org.apache.commons.cli.OptionsTest.testGetOptionsGroups();13;1;2;8;0.8;6;0.6666666666666666
org.apache.commons.cli.OptionsTest.testGetMatchingOpts();10;1;1.3333333333333333;12;1;9;0.9
org.apache.commons.cli.PatternOptionBuilderTest.testSimplePattern();146;1;18;24;0.8888888888888888;21;0.42857142857142855
org.apache.commons.cli.PatternOptionBuilderTest.testEmptyPattern();9;0;0;8;0.2962962962962963;1;0.02040816326530612
org.apache.commons.cli.PatternOptionBuilderTest.testUntypedPattern();36;1;3;21;0.7777777777777778;16;0.32653061224489793
org.apache.commons.cli.PatternOptionBuilderTest.testExistingFilePatternFileNotExist();21;1;2;18;0.6666666666666666;7;0.14285714285714285
